Continent,Country,Year,Category,Expenditure,Visitors,AverageStayNights
Oceania,New Zealand,2008,Visiting friends and relatives,471021000,287153,13.2
Oceania,New Zealand,2008,Business,400395000,212522,5.8
Oceania,New Zealand,2008,Education,63424000,14744,34.6
Oceania,New Zealand,2008,Employment,227708000,38336,95
Oceania,New Zealand,2008,Otherreason,90327000,36672,7.2
Oceania,New Zealand,2008,Backpackers,111829000,37397,26
Oceania,New Zealand,2008,Nonbackpackers,2110213000,957134,14.2
Asia,Japan,2008,Holiday,1226053000,315705,14.1
Asia,Japan,2008,Visiting friends and relatives,86667000,28978,17.7
Asia,Japan,2008,Business,154333000,36905,12.3
Asia,Japan,2008,Education,197270000,17605,119.1
Asia,Japan,2008,Employment,0,0,0
Asia,Japan,2008,Otherreason,57682000,13610,35.7
Asia,Japan,2008,Backpackers,194216000,26899,99.3
Asia,Japan,2008,Nonbackpackers,1571149000,391019,15.6
Asia,Singapore,2008,Holiday,286984000,94931,9.6
Asia,Singapore,2008,Visiting friends and relatives,97931000,31265,15.6
Asia,Singapore,2008,Business,141824000,47107,8.6
Asia,Singapore,2008,Education,213603000,13334,115.1
Asia,Singapore,2008,Employment,0,0,0
Asia,Singapore,2008,Otherreason,0,0,0
Asia,Singapore,2008,Backpackers,41894000,6210,45.7
Asia,Singapore,2008,Nonbackpackers,795023000,196429,19.5
Asia,China,2008,Holiday,625094000,154025,9
Asia,China,2008,Visiting friends and relatives,185650000,47025,53
Asia,China,2008,Business,224714000,57007,15.7
Asia,China,2008,Education,970327000,50042,177
Asia,China,2008,Employment,0,0,0
Asia,China,2008,Otherreason,0,0,0
Asia,China,2008,Backpackers,54128000,6343,58.4
Asia,China,2008,Nonbackpackers,2151036000,325991,46.9
Americas,United States,2008,Holiday,966381000,167662,16.3
Americas,United States,2008,Visiting friends and relatives,334537000,86782,20.1
Americas,United States,2008,Business,666817000,103716,12.2
Americas,United States,2008,Education,279650000,23331,79
Americas,United States,2008,Employment,151039000,19571,71.2
Americas,United States,2008,Otherreason,95536000,22362,16.1
Americas,United States,2008,Backpackers,326309000,45434,49.6
